team_name,league,country,season,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played
Chelsea FC,Premier League,England,2015,Arrivals,Pedro,https://www.transfermarkt.com/pedro/profil/spieler/65278,Right Winger,28,Spain,Barcelona,LaLiga,Spain,27000000,FALSE,NA,Summer,40,40,8,2615
Chelsea FC,Premier League,England,2015,Arrivals,Abdul-Rahman Baba,https://www.transfermarkt.com/abdul-rahman-baba/profil/spieler/224884,Left-Back,21,Ghana,FC Augsburg,Bundesliga,Germany,26000000,FALSE,NA,Summer,42,23,0,1716
Chelsea FC,Premier League,England,2015,Arrivals,Asmir Begovic,https://www.transfermarkt.com/asmir-begovic/profil/spieler/33873,Goalkeeper,28,Bosnia-Herzegovina,Stoke City,Premier League,England,11000000,FALSE,NA,Summer,53,25,0,2147
Chelsea FC,Premier League,England,2015,Arrivals,Kenedy,https://www.transfermarkt.com/kenedy/profil/spieler/281404,Left Winger,19,Brazil,Fluminense,Série A,Brazil,8000000,FALSE,NA,Summer,34,20,2,877
Chelsea FC,Premier League,England,2015,Arrivals,Radamel Falcao,https://www.transfermarkt.com/radamel-falcao/profil/spieler/39152,Centre-Forward,29,Colombia,Monaco,Ligue 1,Monaco,7000000,TRUE,NA,Summer,17,12,1,363
Chelsea FC,Premier League,England,2015,Arrivals,Michael Hector,https://www.transfermarkt.com/michael-hector/profil/spieler/157490,Centre-Back,23,Jamaica,Reading,Championship,England,5400000,FALSE,NA,Summer,0,0,0,0
Chelsea FC,Premier League,England,2015,Arrivals,Nathan,https://www.transfermarkt.com/nathan/profil/spieler/294798,Attacking Midfield,19,Brazil,Athletico-PR,Série A,Brazil,4000000,FALSE,NA,Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Papy Djilobodji,https://www.transfermarkt.com/papy-djilobodji/profil/spieler/136610,Centre-Back,26,Senegal,FC Nantes,Ligue 1,France,3500000,FALSE,NA,Summer,4,1,0,0
Chelsea FC,Premier League,England,2015,Arrivals,Danilo Pantic,https://www.transfermarkt.com/danilo-pantic/profil/spieler/222830,Attacking Midfield,18,Serbia,Partizan,Super liga Srbije,Serbia,0,FALSE,NA,Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Mohamed Salah,https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455,Right Winger,23,Egypt,Fiorentina,Serie A,Italy,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Thorgan Hazard,https://www.transfermarkt.com/thorgan-hazard/profil/spieler/102226,Left Winger,22,Belgium,Bor. M'gladbach,Bundesliga,Germany,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Victor Moses,https://www.transfermarkt.com/victor-moses/profil/spieler/59866,Right Midfield,25,Nigeria,West Ham,Premier League,England,NA,TRUE,"End of loan May 31, 2016",Summer,2,1,0,8
Chelsea FC,Premier League,England,2015,Arrivals,Marco van Ginkel,https://www.transfermarkt.com/marco-van-ginkel/profil/spieler/147034,Central Midfield,22,Netherlands,AC Milan,Serie A,Italy,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Christian Atsu,https://www.transfermarkt.com/christian-atsu/profil/spieler/186997,Left Winger,23,Ghana,Everton,Premier League,England,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Patrick Bamford,https://www.transfermarkt.com/patrick-bamford/profil/spieler/183334,Centre-Forward,22,England,Norwich,Premier League,England,NA,TRUE,"End of loan May 31, 2016",Summer,0,0,0,0
Chelsea FC,Premier League,England,2015,Arrivals,Lucas Piazon,https://www.transfermarkt.com/lucas-piazon/profil/spieler/176485,Right Winger,21,Brazil,E. Frankfurt,Bundesliga,Germany,NA,TRUE,"End of loan Jun 30, 2015",Summer,0,0,0,0
Chelsea FC,Premier League,England,2015,Arrivals,Nathan Aké,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,Centre-Back,21,Netherlands,Watford,Premier League,England,NA,TRUE,"End of loan May 31, 2016",Summer,0,0,0,0
Chelsea FC,Premier League,England,2015,Arrivals,Gaël Kakuta,https://www.transfermarkt.com/gael-kakuta/profil/spieler/74297,Attacking Midfield,24,DR Congo,Rayo Vallecano,LaLiga,Spain,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Oriol Romeu,https://www.transfermarkt.com/oriol-romeu/profil/spieler/66100,Defensive Midfield,23,Spain,VfB Stuttgart,Bundesliga,Germany,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Michael Hector,https://www.transfermarkt.com/michael-hector/profil/spieler/157490,Centre-Back,23,Jamaica,Reading,Championship,England,NA,TRUE,"End of loan Apr 28, 2016",Summer,0,0,0,0
Chelsea FC,Premier League,England,2015,Arrivals,Tomas Kalas,https://www.transfermarkt.com/tomas-kalas/profil/spieler/148657,Centre-Back,23,Czech Republic,Middlesbrough,Championship,England,NA,TRUE,"End of loan May 31, 2016",Summer,0,0,0,0
Chelsea FC,Premier League,England,2015,Arrivals,Lucas Piazon,https://www.transfermarkt.com/lucas-piazon/profil/spieler/176485,Right Winger,22,Brazil,Reading,Championship,England,NA,TRUE,"End of loan Apr 28, 2016",Summer,0,0,0,0
Chelsea FC,Premier League,England,2015,Arrivals,Josh McEachran,https://www.transfermarkt.com/josh-mceachran/profil/spieler/128905,Central Midfield,22,England,Vitesse,Eredivisie,Netherlands,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Wallace Oliveira,https://www.transfermarkt.com/wallace-oliveira/profil/spieler/181779,Right-Back,21,Brazil,Vitesse,Eredivisie,Netherlands,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Mario Pasalic,https://www.transfermarkt.com/mario-pasalic/profil/spieler/205938,Central Midfield,20,Croatia,Elche CF,LaLiga,Spain,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Marko Marin,https://www.transfermarkt.com/marko-marin/profil/spieler/35251,Attacking Midfield,26,Germany,RSC Anderlecht,Jupiler Pro League,Belgium,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Bertrand Traoré,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996,Right Winger,19,Burkina Faso,Vitesse,Eredivisie,Netherlands,NA,TRUE,"End of loan Jun 30, 2015",Summer,33,16,4,513
Chelsea FC,Premier League,England,2015,Arrivals,Cristian Cuevas,https://www.transfermarkt.com/cristian-cuevas/profil/spieler/186863,Left-Back,20,Chile,U. de Chile,Torneo Clausura,Chile,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Ulises Dávila,https://www.transfermarkt.com/ulises-davila/profil/spieler/108820,Second Striker,24,Mexico,Vitória Setúbal,Liga Bwin,Portugal,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Chelsea FC,Premier League,England,2015,Arrivals,Matej Delac,https://www.transfermarkt.com/matej-delac/profil/spieler/60220,Goalkeeper,22,Croatia,FK Sarajevo,Premijer Liga,Bosnia-Herzegovina,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
